SPANISH,TURKISH
que,ne
y,Ve
no,HAYIR
con,ile
su,onun
para,için
como,gibi
pero,Ancak
más,daha fazla
si,Evet
aquí,Burada
vamos,Hadi
muy,çok
bien,iyi
todo,Tümü
ser,olmak
tengo,Sahibim
tiene,sahip olmak
porque,Çünkü
dónde,Neresi
cuando,Ne zaman
nada,Hiçbir şey
quien,kim
este,Bu
quiero,istemek
puede,olabilmek
hacer,Yapmak
ver,Görmek
donde,Neresi
día,gün
estado,durum
país,ülke
año,yıl
momento,an
lugar,yer
casa,Ev
parte,parça
vida,hayat
mano,el
cabeza,kafa
ojo,göz
pie,ayak
agua,su
comida,yemek
amigo,arkadaş
familia,aile
trabajo,iş
dinero,para
ciudad,şehir
noche,akşam
nombre,isim
niño,çocuk
mujer,kadın
hombre,Adam
amor,Aşk
niña,küçük kız
edad,yaş
mente,akıl
corazón,kalp
historia,tarih
mundo,dünya
problema,sorun
razón,sebep
cosa,şey
semana,hafta
mes,ay
hora,saat
minuto,dakika
calle,sokak
camino,yol
escuela,okul
libro,kitap
película,film
música,müzik
arte,sanat
palabra,kelime
pregunta,sormak
respuesta,cevap
cuerpo,vücut
oreja,kulak
nariz,burun
boca,ağız
diente,diş
lengua,dil
pelo,saç
piel,kürk
brazo,kol
mano,el
dedo,parmak
pierna,bacak
pie,ayak
dedo del pie,Ayak parmağı
ropa,kıyafetler
vestido,elbise
pantalón,pantolon
camisa,gömlek
sombrero,şapka
chaqueta,ceket
calcetín,çorap
zapato,ayakkabı
